YEAR_REGISTERED,YEAR_EVALUATED,YEAR_BUILT,PROPERTY_TYPE,WARD,WARDNAME,SITE_ADDRESS,CONFIRMED_STOREYS,CONFIRMED_UNITS,SCORE
2017,2018,1964,PRIVATE,16,Don Valley East,1216 YORK MILLS RD,8,65,93
2017,2018,1970,PRIVATE,02,Etobicoke Centre,313 THE KINGSWAY,4,18,72
2017,2018,1970,PRIVATE,02,Etobicoke Centre,316 THE KINGSWAY,4,17,65
2019,2018,2016,SOCIAL HOUSING,20,Scarborough Southwest,55 THORA AVE,4,20,99
2017,2018,1954,PRIVATE,08,Eglinton-Lawrence,2730 YONGE ST,7,63,82
2017,2018,1950,PRIVATE,08,Eglinton-Lawrence,2770 YONGE ST,4,50,75
2017,2018,1971,TCHC,21,Scarborough Centre,6 GLAMORGAN AVE,12,184,68
2017,2018,1971,TCHC,21,Scarborough Centre,7 GLAMORGAN AVE,12,196,67
2017,2018,1967,PRIVATE,06,York Centre,605 FINCH AVE W,9,244,74
2017,2018,1964,PRIVATE,06,York Centre,707-711 FINCH AVE W,7,150,74
2017,2018,1965,PRIVATE,24,Scarborough-Guildwood,3400 EGLINTON AVE E,16,221,70
2017,2018,1975,PRIVATE,24,Scarborough-Guildwood,3434 EGLINTON AVE E,17,214,69
